date,group,product,price,quantity,cost
1400/01,لبنیات,شیر پاستوریزه,93,1677,67
1400/02,لبنیات,شیر پاستوریزه,96,1627,69
1400/03,لبنیات,شیر پاستوریزه,101,1545,73
1400/04,لبنیات,شیر پاستوریزه,102,1527,74
1400/05,لبنیات,شیر پاستوریزه,106,1406,76
1400/06,لبنیات,شیر پاستوریزه,108,1427,78
1400/07,لبنیات,شیر پاستوریزه,109,1359,79
1400/08,لبنیات,شیر پاستوریزه,108,1391,78
1400/09,لبنیات,شیر پاستوریزه,110,1357,79
1400/10,لبنیات,شیر پاستوریزه,114,1270,82
1400/11,لبنیات,شیر پاستوریزه,118,1222,85
1400/12,لبنیات,شیر پاستوریزه,127,1098,92
1401/01,لبنیات,شیر پاستوریزه,127,1081,92
1401/02,لبنیات,شیر پاستوریزه,130,1096,93
1401/03,لبنیات,شیر پاستوریزه,129,1096,93
1401/04,لبنیات,شیر پاستوریزه,131,1037,94
1401/05,لبنیات,شیر پاستوریزه,132,1054,95
1401/06,لبنیات,شیر پاستوریزه,143,924,103
1401/07,لبنیات,شیر پاستوریزه,145,898,105
1401/08,لبنیات,شیر پاستوریزه,148,900,106
1401/09,لبنیات,شیر پاستوریزه,146,897,105
1401/10,لبنیات,شیر پاستوریزه,147,905,106
1401/11,لبنیات,شیر پاستوریزه,156,833,113
1401/12,لبنیات,شیر پاستوریزه,149,894,107
1402/01,لبنیات,شیر پاستوریزه,161,794,116
1402/02,لبنیات,شیر پاستوریزه,166,769,120
1402/03,لبنیات,شیر پاستوریزه,167,767,120
1402/04,لبنیات,شیر پاستوریزه,161,791,116
1402/05,لبنیات,شیر پاستوریزه,166,769,120
1402/06,لبنیات,شیر پاستوریزه,173,699,125
1402/07,لبنیات,شیر پاستوریزه,168,728,121
1402/08,لبنیات,شیر پاستوریزه,173,704,125
1402/09,لبنیات,شیر پاستوریزه,179,671,129
1402/10,لبنیات,شیر پاستوریزه,186,640,134
1402/11,لبنیات,شیر پاستوریزه,181,653,130
1402/12,لبنیات,شیر پاستوریزه,187,644,135
1400/01,لبنیات,پنیر,148,886,96
1400/02,لبنیات,پنیر,160,852,104
1400/03,لبنیات,پنیر,164,833,107
1400/04,لبنیات,پنیر,170,794,111
1400/05,لبنیات,پنیر,175,777,114
1400/06,لبنیات,پنیر,182,713,118
1400/07,لبنیات,پنیر,186,718,121
1400/08,لبنیات,پنیر,182,750,118
1400/09,لبنیات,پنیر,196,693,127
1400/10,لبنیات,پنیر,194,683,126
1400/11,لبنیات,پنیر,206,651,134
1400/12,لبنیات,پنیر,198,661,129
1401/01,لبنیات,پنیر,214,614,139
1401/02,لبنیات,پنیر,209,621,136
1401/03,لبنیات,پنیر,209,612,136
1401/04,لبنیات,پنیر,222,602,144
1401/05,لبنیات,پنیر,218,598,142
1401/06,لبنیات,پنیر,225,574,146
1401/07,لبنیات,پنیر,244,537,158
1401/08,لبنیات,پنیر,235,565,153
1401/09,لبنیات,پنیر,241,538,157
1401/10,لبنیات,پنیر,251,501,163
1401/11,لبنیات,پنیر,258,500,168
1401/12,لبنیات,پنیر,260,499,169
1402/01,لبنیات,پنیر,269,492,175
1402/02,لبنیات,پنیر,269,476,175
1402/03,لبنیات,پنیر,274,461,178
1402/04,لبنیات,پنیر,267,491,173
